round,soca1_or_soca2,soca_tank,color,date_of_soca,sl_focal,sl_resident,difference,behavior_or_location,phase,code,time_in,time_out
1,soca1,1,black,05_06,4.7,5,0.3,behavior,habituation,Digging,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,habituation,Activity at female barrier,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,habituation,Activity at resident barrier,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,habituation,Activity at neutral barrier,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,early_opportunity,Digging,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,early_opportunity,Activity at female barrier,2,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,early_opportunity,Activity at resident barrier,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,early_opportunity,Activity at neutral barrier,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,early_opportunity,Reproductive Display,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,early_opportunity,Lateral Display,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,early_opportunity,Border Conflict,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,late_opportunity,Digging,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,late_opportunity,Activity at female barrier,1,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,late_opportunity,Activity at resident barrier,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,late_opportunity,Activity at neutral barrier,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,late_opportunity,Reproductive Display,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,late_opportunity,Lateral Display,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,late_opportunity,Border Conflict,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,early_challenge,Digging,1,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,early_challenge,Activity at female barrier,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,early_challenge,Activity at resident barrier,2,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,early_challenge,Activity at neutral barrier,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,early_challenge,Reproductive Display,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,early_challenge,Lateral Display,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,early_challenge,Border Conflict,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,early_challenge,Aggressive behavior by resident,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,late_challenge,Digging,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,late_challenge,Activity at female barrier,19,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,late_challenge,Activity at resident barrier,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,late_challenge,Activity at neutral barrier,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,late_challenge,Reproductive Display,2,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,late_challenge,Lateral Display,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,late_challenge,Border Conflict,0,
1,soca1,1,black,05_06,4.7,5,0.3,behavior,late_challenge,Aggressive behavior by resident,0,
1,soca1,1,black,05_06,4.7,5,0.3,location,habituation,PVC,15:18:34,15:22:52
1,soca1,1,black,05_06,4.7,5,0.3,location,early_opportunity,PVC,15:22:52,15:24:21
1,soca1,1,black,05_06,4.7,5,0.3,location,early_opportunity,female barrier,15:24:21,15:24:43
1,soca1,1,black,05_06,4.7,5,0.3,location,early_opportunity,resident barrier,15:24:43,15:24:47
1,soca1,1,black,05_06,4.7,5,0.3,location,early_opportunity,female barrier,15:24:47,15:25:01
1,soca1,1,black,05_06,4.7,5,0.3,location,early_opportunity,PVC,15:25:01,15:26:47
1,soca1,1,black,05_06,4.7,5,0.3,location,early_opportunity,female barrier,15:26:47,15:26:58
1,soca1,1,black,05_06,4.7,5,0.3,location,early_opportunity,PVC,15:26:58,15:27:27
1,soca1,1,black,05_06,4.7,5,0.3,location,early_opportunity,female barrier,15:27:27,15:27:50
1,soca1,1,black,05_06,4.7,5,0.3,location,early_opportunity,PVC,15:27:50,15:27:52
1,soca1,1,black,05_06,4.7,5,0.3,location,late_opportunity,PVC,15:50:03,15:50:27
1,soca1,1,black,05_06,4.7,5,0.3,location,late_opportunity,female barrier,15:50:27,15:50:29
1,soca1,1,black,05_06,4.7,5,0.3,location,late_opportunity,PVC,15:50:29,15:51:55
1,soca1,1,black,05_06,4.7,5,0.3,location,late_opportunity,female barrier,15:51:55,15:51:57
1,soca1,1,black,05_06,4.7,5,0.3,location,late_opportunity,PVC,15:51:57,15:53:18
1,soca1,1,black,05_06,4.7,5,0.3,location,late_opportunity,female barrier,15:53:18,15:53:20
1,soca1,1,black,05_06,4.7,5,0.3,location,late_opportunity,PVC,15:53:20,15:53:41
1,soca1,1,black,05_06,4.7,5,0.3,location,late_opportunity,female barrier,15:53:41,15:54:24
1,soca1,1,black,05_06,4.7,5,0.3,location,late_opportunity,resident barrier,15:54:24,15:54:42
1,soca1,1,black,05_06,4.7,5,0.3,location,late_opportunity,female barrier,15:54:42,15:54:46
1,soca1,1,black,05_06,4.7,5,0.3,location,late_opportunity,resident barrier,15:54:46,15:55:03
1,soca1,1,black,05_06,4.7,5,0.3,location,early_challenge,resident barrier,15:55:03,15:56:31
1,soca1,1,black,05_06,4.7,5,0.3,location,early_challenge,PVC,15:56:31,15:57:14
