fishid,sex,status_15,status_18,did_fish_ascend,reward_side_14,trial1_firstchoice_LR,trial2_firstchoice_LR,trial3_firstchoice_LR,trial4_firstchoice_LR,trial1_firstchoice,trial2_firstchoice,trial3_firstchoice,trial4_firstchoice,234_learner,SPA_trial_2consec_reached,SPA_2consec_learner,SPA_learning_category
round1femalepurple,female,NA,NA,NA,L,R,R,L,L,incorrect,incorrect,correct,correct,0,4,1,low
round1femaleblue,female,NA,NA,NA,L,R,L,L,L,incorrect,correct,correct,correct,1,3,1,high
round1femaleblack,female,NA,NA,NA,L,L,L,L,L,correct,correct,correct,correct,1,3,1,high
round1femaleorange,female,NA,NA,NA,L,L,L,L,L,correct,correct,correct,correct,1,3,1,high
round1femaleyellow,female,NA,NA,NA,L,NA,R,R,R,NA,incorrect,incorrect,incorrect,0,NA,0,non
round1femalewhite,female,NA,NA,NA,L,R,R,R,L,incorrect,incorrect,incorrect,correct,0,NA,0,low
round1femalegreen,female,NA,NA,NA,L,L,R,R,NA,correct,incorrect,incorrect,NA,0,NA,0,NA
round1femalepink,female,NA,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
round1malepurple,male,NA,NA,NA,L,R,R,L,R,incorrect,incorrect,correct,incorrect,0,NA,0,non
round1maleblue,male,NA,int,NA,L,NA,NA,R,R,NA,NA,incorrect,incorrect,0,NA,0,non
round1maleblack,male,NA,dom,NA,L,R,R,L,R,incorrect,incorrect,correct,incorrect,0,NA,0,non
round1maleorange,male,NA,NA,NA,L,L,R,R,L,correct,incorrect,incorrect,correct,0,NA,0,low
round1maleyellow,male,NA,NA,NA,L,R,NA,NA,NA,incorrect,NA,NA,NA,0,NA,0,NA
round1malewhite,male,NA,sub,NA,L,R,R,L,L,incorrect,incorrect,correct,correct,0,4,1,low
round1malegreen,male,NA,NA,NA,L,L,R,R,R,correct,incorrect,incorrect,incorrect,0,NA,0,non
round1malepink,male,NA,dom,NA,L,R,L,L,R,incorrect,correct,correct,incorrect,0,3,1,non
round2femalepurple,female,NA,NA,NA,L,R,L,L,L,incorrect,correct,correct,correct,1,3,1,high
round2femaleblue,female,NA,NA,NA,L,NA,L,NA,L,NA,correct,NA,correct,0,NA,0,low
round2femaleblack,female,NA,NA,NA,L,R,L,R,L,incorrect,correct,incorrect,correct,0,NA,0,low
round2femaleorange,female,NA,NA,NA,L,L,R,R,L,correct,incorrect,incorrect,correct,0,NA,0,low
round2femaleyellow,female,NA,NA,NA,L,R,R,R,R,incorrect,incorrect,incorrect,incorrect,0,NA,0,non
round2femalewhite,female,NA,NA,NA,L,R,L,L,R,incorrect,correct,correct,incorrect,0,3,1,non
round2femalegreen,female,NA,NA,NA,L,R,R,R,R,incorrect,incorrect,incorrect,incorrect,0,NA,0,non
round2femalepink,female,NA,NA,NA,L,NA,L,L,L,NA,correct,correct,correct,1,3,1,high
round2malepurple,male,int,NA,NA,L,R,R,NA,L,incorrect,incorrect,NA,correct,0,NA,0,low
round2maleblue,male,sub,NA,NA,L,L,R,L,L,correct,incorrect,correct,correct,0,4,1,low
round2maleblack,male,sub,int,1,L,R,R,L,R,incorrect,incorrect,correct,incorrect,0,NA,0,non
round2maleorange,male,int,int,0,L,R,L,L,L,incorrect,correct,correct,correct,1,3,1,high
round2maleyellow,male,sub,NA,NA,L,R,R,NA,R,incorrect,incorrect,NA,incorrect,0,NA,0,non
round2malewhite,male,sub,NA,NA,L,R,R,L,L,incorrect,incorrect,correct,correct,0,4,1,low
round2malegreen,male,sub,sub,0,L,R,NA,NA,R,incorrect,NA,NA,incorrect,0,NA,0,non
round2malepink,male,sub,int,1,L,L,L,L,L,correct,correct,correct,correct,1,3,1,high
round3femalepurple,female,NA,NA,NA,R,L,L,L,L,incorrect,incorrect,incorrect,incorrect,0,NA,0,non
round3femaleblue,female,NA,NA,NA,R,L,L,R,R,incorrect,incorrect,correct,correct,0,4,1,low
round3femaleblack,female,NA,NA,NA,R,L,R,L,L,incorrect,correct,incorrect,incorrect,0,NA,0,non
round3femaleorange,female,NA,NA,NA,R,L,R,NA,R,incorrect,correct,NA,correct,0,NA,0,low
round3femaleyellow,female,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
round3femalewhite,female,NA,NA,NA,R,L,L,L,R,incorrect,incorrect,incorrect,correct,0,NA,0,low
round3femalegreen,female,NA,NA,NA,R,R,L,L,NA,correct,incorrect,incorrect,NA,0,NA,0,NA
round3femalepink,female,NA,NA,NA,R,R,R,R,NA,correct,correct,correct,NA,0,3,1,NA
round3malepurple,male,sub,NA,NA,R,R,R,L,L,correct,correct,incorrect,incorrect,0,NA,0,non
round3maleblue,male,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
round3maleblack,male,sub,NA,NA,R,L,L,L,R,incorrect,incorrect,incorrect,correct,0,NA,0,low
round3maleorange,male,int,sub,0,R,R,L,L,R,correct,incorrect,incorrect,correct,0,NA,0,low
round3maleyellow,male,int,NA,NA,R,R,R,L,R,correct,correct,incorrect,correct,0,NA,0,low
round3malewhite,male,int,int,0,R,R,R,L,L,correct,correct,incorrect,incorrect,0,NA,0,non
