tank,round,sex,pre_or_post,color,fishID,sample_number,CORT,T
cooper,8,male,pre,orange,round8maleorange,#1,268.7532324,63.9140311
harry,5,male,pre,yellow,round5maleyellow,#2,243.2091425,43.55337549
cooper,6,male,pre,white,round6malewhite,#3,1188.702787,69.68730304
harry,7,male,post,green,round7malegreen,#4,1767.057593,33.9814779
audrey,3,male,pre,black,round3maleblack,#5,636.3498965,269.4624798
harry,7,male,post,yellow,round7maleyellow,#6,1252.785177,48.57771502
audrey,3,male,pre,purple,round3malepurple,#7,723.1480591,217.9834414
harry,5,male,pre,purple,round5malepurple,#8,579.9500015,56.17879986
harry,7,male,pre,purple,round7malepurple,#9,618.7101764,130.8007391
cooper,6,male,pre,black,round6maleblack,#10,835.307998,42.79238487
cooper,4,male,pre,yellow,round4maleyellow,#11,159.5884568,22.4115555
harry,1,male,pre,white,round1malewhite,#12,495.5660635,15.07483414
cooper,2,male,pre,black,round2maleblack,#13,328.5355008,30.2300443
cooper,8,male,pre,white,round8malewhite,#14,329.2487318,49.17726609
cooper,6,male,pre,yellow,round6maleyellow,#15,946.8522199,73.5578869
cooper,4,male,pre,orange,round4maleorange,#16,2763.041461,15.6314245
cooper,2,male,post,green,round2malegreen,#17,247.7085397,20.20063098
cooper,2,male,post,black,round2maleblack,#18,116.681836,53.37945355
cooper,4,male,post,blue,round4maleblue,#19,735.5284894,85.88186168
audrey,3,male,pre,yellow,round3maleyellow,#20,309.1015614,200.7266506
harry,1,male,pre,pink,round1malepink,#21,193.1675695,96.99484429
cooper,4,male,pre,black,round4maleblack,#22,91.05734259,29.37424136
harry,7,male,pre,green,round7malegreen,#23,663.8682965,53.18073993
audrey,3,male,post,white,round3malewhite,#24,717.36133,93.08770609
audrey,3,male,pre,pink,round3malepink,#25,675.5691871,52.96721014
audrey,3,male,pre,white,round3malewhite,#26,295.7067312,275.4726735
cooper,8,male,pre,yellow,round8maleyellow,#27,300.7096289,425.5358557
audrey,3,male,post,orange,round3maleorange,#28,657.6503654,98.90220698
harry,7,male,pre,pink,round7malepink,#29,407.7847824,168.8201716
harry,7,male,pre,white,round7malewhite,#30,680.0986313,64.52104948
audrey,3,male,pre,orange,round3maleorange,#31,652.690285,123.1575196
cooper,8,male,post,green,round8malegreen,#32,456.5055481,612.3341344
cooper,2,male,pre,orange,round2maleorange,#33,211.324604,25.77455765
cooper,4,male,post,pink,round4malepink,#34,296.2143526,131.8221121
audrey,3,male,post,pink,round3malepink,#35,876.0544964,429.8806497
harry,7,male,post,white,round7malewhite,#36,385.3631307,231.8050364
cooper,4,male,pre,pink,round4malepink,#37,335.2246208,35.28030764
harry,5,male,pre,green,round5malegreen,#38,529.5304469,72.89063864
harry,1,male,pre,blue,round1maleblue,#39,740.9044203,84.46997272
cooper,4,male,post,yellow,round4maleyellow,#40,204.9860118,112.2681217
cooper,8,male,pre,pink,round8malepink,#41,251.1916278,74.04276244
harry,1,male,pre,orange,round1maleorange,#42,1673.489923,131.6810877
harry,1,male,post,black,round1maleblack,#43,369.0532971,254.4914863
audrey,3,male,post,green,round3malegreen,#44,477.0279981,97.15961752
cooper,6,male,pre,blue,round6maleblue,#45,787.7014723,24.0170576
cooper,4,male,pre,green,round4malegreen,#46,708.3929676,33.16155566
cooper,2,male,post,orange,round2maleorange,#47,170.7608296,47.77133398
cooper,4,male,pre,white,round4malewhite,#48,238.3763408,44.65540663
harry,5,male,pre,blue,round5maleblue,#49,43600.95305,47.63296002
harry,5,male,pre,pink,round5malepink,#50,902.6631454,54.94978198
