fishID,sex,weight_start,SL_start,male_size_start,weight_end,SL_end,gonad_weight_end,GSI_end,GSI_end_x1000,change_weight,change_SL,lost_weight
round1femalepurple,female,2.4,4.6,NA,2.1,4.7,0.0056,0.002666667,2.666666667,-0.3,0.1,1
round1femaleblue,female,1.8,4.3,NA,1.8,4.8,0.0035,0.001944444,1.944444444,0,0.5,0
round1femaleblack,female,1.9,4.5,NA,1.8,4.5,0.0079,0.004388889,4.388888889,-0.1,0,1
round1femaleorange,female,1.8,4.4,NA,1.6,4.4,0.0059,0.0036875,3.6875,-0.2,0,1
round1femaleyellow,female,2,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
round1femalewhite,female,2.1,4.7,NA,2.6,4.8,0.0075,0.002884615,2.884615385,0.5,0.1,0
round1femalegreen,female,1.5,4.3,NA,1.5,4.6,0.0097,0.006466667,6.466666667,0,0.3,0
round1femalepink,female,2.5,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
round1malepurple,male,2.7,4.9,large,NA,NA,NA,NA,NA,NA,NA,NA
round1maleblue,male,2.3,4.7,small,2.2,4.5,0.0156,0.007090909,7.090909091,-0.1,-0.2,1
round1maleblack,male,2.3,4.7,large,2.2,4.6,0.0041,0.001863636,1.863636364,-0.1,-0.1,1
round1maleorange,male,4,5.5,large,NA,NA,NA,NA,NA,NA,NA,NA
round1maleyellow,male,2.3,4.5,small,NA,NA,NA,NA,NA,NA,NA,NA
round1malewhite,male,2.1,4.7,small,1.9,4.6,0.0059,0.003105263,3.105263158,-0.2,-0.1,1
round1malegreen,male,2.6,4.8,large,NA,NA,NA,NA,NA,NA,NA,NA
round1malepink,male,2.5,4.6,small,2.3,4.7,0.0184,0.008,8,-0.2,0.1,1
round2femalepurple,female,1.9,4.3,NA,1.6,4.3,0.0086,0.005375,5.375,-0.3,0,1
round2femaleblue,female,2.2,4.7,NA,2,4.6,0.0035,0.00175,1.75,-0.2,-0.1,1
round2femaleblack,female,1.8,4.4,NA,1.7,4.3,0.0046,0.002705882,2.705882353,-0.1,-0.1,1
round2femaleorange,female,2.3,4.7,NA,2.1,4.7,0.0088,0.004190476,4.19047619,-0.2,0,1
round2femaleyellow,female,1.4,3.9,NA,1.2,3.8,0.0037,0.003083333,3.083333333,-0.2,-0.1,1
round2femalewhite,female,2.5,4.8,NA,2.1,4.8,0.0084,0.004,4,-0.4,0,1
round2femalegreen,female,2.4,4.7,NA,2.1,4.7,0.0135,0.006428571,6.428571429,-0.3,0,1
round2femalepink,female,2.1,4.6,NA,1.8,4.5,0.014,0.007777778,7.777777778,-0.3,-0.1,1
round2malepurple,male,2.6,4.7,large,NA,NA,NA,NA,NA,NA,NA,NA
round2maleblue,male,2,4.5,large,NA,NA,NA,NA,NA,NA,NA,NA
round2maleblack,male,2.1,4.5,small,1.9,4.4,0.0153,0.008052632,8.052631579,-0.2,-0.1,1
round2maleorange,male,1.7,4.3,small,1.6,4.2,0.0063,0.0039375,3.9375,-0.1,-0.1,1
round2maleyellow,male,2,4.6,large,NA,NA,NA,NA,NA,NA,NA,NA
round2malewhite,male,2.5,4.9,large,NA,NA,NA,NA,NA,NA,NA,NA
round2malegreen,male,1.9,4.1,small,1.6,4.1,0.0042,0.002625,2.625,-0.3,0,1
round2malepink,male,1.8,4.4,small,1.7,4.4,0,0,0,-0.1,0,1
round3femalepurple,female,3,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
round3femaleblue,female,2.4,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
round3femaleblack,female,1.9,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
round3femaleorange,female,2,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
round3femaleyellow,female,2.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
round3femalewhite,female,2.3,4.3,NA,2.2,4.4,0.0057,0.002590909,2.590909091,-0.1,0.1,1
round3femalegreen,female,3.2,4.9,NA,3,4.8,0.0302,0.010066667,10.06666667,-0.2,-0.1,1
round3femalepink,female,2.1,4.2,NA,1.7,4.2,0.0057,0.003352941,3.352941176,-0.4,0,1
round3malepurple,male,2.9,4.8,large,NA,NA,NA,NA,NA,NA,NA,NA
round3maleblue,male,2.5,4.7,large,NA,NA,NA,NA,NA,NA,NA,NA
round3maleblack,male,2.8,4.9,large,NA,NA,NA,NA,NA,NA,NA,NA
round3maleorange,male,2.6,4.6,small,2.5,4.6,0.0098,0.00392,3.92,-0.1,0,1
